[2025-10-06 01:55:04.215] <Wally>    (in) : name
[2025-10-06 01:55:18.705] <Wally>   (err) : save move: XX
[2025-10-06 01:55:18.705] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:18.705] <Wally>   (err) : surround move: G8
[2025-10-06 01:55:18.706] <Wally>   (err) : best move G8
[2025-10-06 01:55:19.617] <Wally>    (in) : play B C4
[2025-10-06 01:55:19.625] <Wally>   (out) : =
[2025-10-06 01:55:19.625] <Wally>   (out) : 
[2025-10-06 01:55:19.629] <Wally>    (in) : genmove W
[2025-10-06 01:55:19.634] <Wally>   (out) : = H7
[2025-10-06 01:55:19.635] <Wally>   (out) : 
[2025-10-06 01:55:19.641] <Wally>   (err) : capture move XX
[2025-10-06 01:55:19.641] <Wally>   (err) : save move: XX
[2025-10-06 01:55:19.641] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:19.641] <Wally>   (err) : surround move: H7
[2025-10-06 01:55:19.641] <Wally>   (err) : best move H7
[2025-10-06 01:55:20.645] <Wally>    (in) : play B C7
[2025-10-06 01:55:20.652] <Wally>   (out) : =
[2025-10-06 01:55:20.653] <Wally>   (out) : 
[2025-10-06 01:55:20.657] <Wally>    (in) : genmove W
[2025-10-06 01:55:20.661] <Wally>   (out) : = F7
[2025-10-06 01:55:20.662] <Wally>   (out) : 
[2025-10-06 01:55:20.669] <Wally>   (err) : capture move F7
[2025-10-06 01:55:20.669] <Wally>   (err) : save move: F7
[2025-10-06 01:55:20.669] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:20.669] <Wally>   (err) : surround move: C6
[2025-10-06 01:55:20.669] <Wally>   (err) : best move F7
[2025-10-06 01:55:21.283] <Wally>    (in) : play B F5
[2025-10-06 01:55:21.291] <Wally>   (out) : =
[2025-10-06 01:55:21.292] <Wally>   (out) : 
[2025-10-06 01:55:21.296] <Wally>    (in) : genmove W
[2025-10-06 01:55:21.306] <Wally>   (out) : = C6
[2025-10-06 01:55:21.306] <Wally>   (out) : 
[2025-10-06 01:55:21.316] <Wally>   (err) : capture move XX
[2025-10-06 01:55:21.316] <Wally>   (err) : save move: XX
[2025-10-06 01:55:21.316] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:21.316] <Wally>   (err) : surround move: C6
[2025-10-06 01:55:21.316] <Wally>   (err) : best move C6
[2025-10-06 01:55:22.061] <Wally>    (in) : play B H3
[2025-10-06 01:55:22.069] <Wally>   (out) : =
[2025-10-06 01:55:22.069] <Wally>   (out) : 
[2025-10-06 01:55:22.073] <Wally>    (in) : genmove W
[2025-10-06 01:55:22.076] <Wally>   (out) : = C8
[2025-10-06 01:55:22.077] <Wally>   (out) : 
[2025-10-06 01:55:22.082] <Wally>   (err) : capture move XX
[2025-10-06 01:55:22.082] <Wally>   (err) : save move: XX
[2025-10-06 01:55:22.082] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:22.082] <Wally>   (err) : surround move: C8
[2025-10-06 01:55:22.083] <Wally>   (err) : best move C8
[2025-10-06 01:55:22.946] <Wally>    (in) : play B E6
[2025-10-06 01:55:22.953] <Wally>   (out) : =
[2025-10-06 01:55:22.953] <Wally>   (out) : 
[2025-10-06 01:55:22.957] <Wally>    (in) : genmove W
[2025-10-06 01:55:22.962] <Wally>   (out) : = D7
[2025-10-06 01:55:22.962] <Wally>   (out) : 
[2025-10-06 01:55:22.968] <Wally>   (err) : capture move XX
[2025-10-06 01:55:22.968] <Wally>   (err) : save move: XX
[2025-10-06 01:55:22.968] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:22.968] <Wally>   (err) : surround move: D7
[2025-10-06 01:55:22.968] <Wally>   (err) : best move D7
[2025-10-06 01:55:23.682] <Wally>    (in) : play B D3
[2025-10-06 01:55:23.689] <Wally>   (out) : =
[2025-10-06 01:55:23.689] <Wally>   (out) : 
[2025-10-06 01:55:23.693] <Wally>    (in) : genmove W
[2025-10-06 01:55:23.698] <Wally>   (out) : = B7
[2025-10-06 01:55:23.698] <Wally>   (out) : 
[2025-10-06 01:55:23.705] <Wally>   (err) : capture move B7
[2025-10-06 01:55:23.705] <Wally>   (err) : save move: B7
[2025-10-06 01:55:23.705] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:23.705] <Wally>   (err) : surround move: E7
[2025-10-06 01:55:23.705] <Wally>   (err) : best move B7
[2025-10-06 01:55:24.386] <Wally>    (in) : play B E2
[2025-10-06 01:55:24.393] <Wally>   (out) : =
[2025-10-06 01:55:24.393] <Wally>   (out) : 
[2025-10-06 01:55:24.398] <Wally>    (in) : genmove W
[2025-10-06 01:55:24.402] <Wally>   (out) : = E7
[2025-10-06 01:55:24.402] <Wally>   (out) : 
[2025-10-06 01:55:24.411] <Wally>   (err) : capture move XX
[2025-10-06 01:55:24.411] <Wally>   (err) : save move: XX
[2025-10-06 01:55:24.411] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:24.411] <Wally>   (err) : surround move: E7
[2025-10-06 01:55:24.412] <Wally>   (err) : best move E7
[2025-10-06 01:55:24.956] <Wally>    (in) : play B C1
[2025-10-06 01:55:24.963] <Wally>   (out) : =
[2025-10-06 01:55:24.964] <Wally>   (out) : 
[2025-10-06 01:55:24.968] <Wally>    (in) : genmove W
[2025-10-06 01:55:24.972] <Wally>   (out) : = D6
[2025-10-06 01:55:24.972] <Wally>   (out) : 
[2025-10-06 01:55:24.979] <Wally>   (err) : capture move XX
[2025-10-06 01:55:24.980] <Wally>   (err) : save move: XX
[2025-10-06 01:55:24.980] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:24.980] <Wally>   (err) : surround move: D6
[2025-10-06 01:55:24.980] <Wally>   (err) : best move D6
[2025-10-06 01:55:26.869] <Wally>    (in) : play B D8
[2025-10-06 01:55:26.877] <Wally>   (out) : =
[2025-10-06 01:55:26.877] <Wally>   (out) : 
[2025-10-06 01:55:26.881] <Wally>    (in) : genmove W
[2025-10-06 01:55:26.887] <Wally>   (out) : = E8
[2025-10-06 01:55:26.887] <Wally>   (out) : 
[2025-10-06 01:55:26.897] <Wally>   (err) : capture move XX
[2025-10-06 01:55:26.901] <Wally>   (err) : save move: XX
[2025-10-06 01:55:26.901] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:26.901] <Wally>   (err) : surround move: E8
[2025-10-06 01:55:26.901] <Wally>   (err) : best move E8
[2025-10-06 01:55:28.437] <Wally>    (in) : play B B8
[2025-10-06 01:55:28.445] <Wally>   (out) : =
[2025-10-06 01:55:28.445] <Wally>   (out) : 
[2025-10-06 01:55:28.449] <Wally>    (in) : genmove W
[2025-10-06 01:55:28.455] <Wally>   (out) : = D9
[2025-10-06 01:55:28.455] <Wally>   (out) : 
[2025-10-06 01:55:28.461] <Wally>   (err) : capture move D9
[2025-10-06 01:55:28.461] <Wally>   (err) : save move: D9
[2025-10-06 01:55:28.461] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:28.462] <Wally>   (err) : surround move: B9
[2025-10-06 01:55:28.462] <Wally>   (err) : best move D9
[2025-10-06 01:55:29.697] <Wally>    (in) : play B B5
[2025-10-06 01:55:29.705] <Wally>   (out) : =
[2025-10-06 01:55:29.705] <Wally>   (out) : 
[2025-10-06 01:55:29.709] <Wally>    (in) : genmove W
[2025-10-06 01:55:29.714] <Wally>   (out) : = B9
[2025-10-06 01:55:29.714] <Wally>   (out) : 
[2025-10-06 01:55:29.720] <Wally>   (err) : capture move XX
[2025-10-06 01:55:29.720] <Wally>   (err) : save move: XX
[2025-10-06 01:55:29.721] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:29.721] <Wally>   (err) : surround move: B9
[2025-10-06 01:55:29.721] <Wally>   (err) : best move B9
[2025-10-06 01:55:30.191] <Wally>    (in) : play B B2
[2025-10-06 01:55:30.199] <Wally>   (out) : =
[2025-10-06 01:55:30.199] <Wally>   (out) : 
[2025-10-06 01:55:30.204] <Wally>    (in) : genmove W
[2025-10-06 01:55:30.208] <Wally>   (out) : = A8
[2025-10-06 01:55:30.208] <Wally>   (out) : 
[2025-10-06 01:55:30.215] <Wally>   (err) : capture move A8
[2025-10-06 01:55:30.215] <Wally>   (err) : save move: A7
[2025-10-06 01:55:30.215] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:30.215] <Wally>   (err) : surround move: F6
[2025-10-06 01:55:30.215] <Wally>   (err) : best move A8
[2025-10-06 01:55:30.896] <Wally>    (in) : play B G9
[2025-10-06 01:55:30.903] <Wally>   (out) : =
[2025-10-06 01:55:30.903] <Wally>   (out) : 
[2025-10-06 01:55:30.907] <Wally>    (in) : genmove W
[2025-10-06 01:55:30.913] <Wally>   (out) : = H9
[2025-10-06 01:55:30.913] <Wally>   (out) : 
[2025-10-06 01:55:30.920] <Wally>   (err) : capture move XX
[2025-10-06 01:55:30.920] <Wally>   (err) : save move: XX
[2025-10-06 01:55:30.920] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:30.921] <Wally>   (err) : surround move: H9
[2025-10-06 01:55:30.921] <Wally>   (err) : best move H9
[2025-10-06 01:55:31.414] <Wally>    (in) : play B H8
[2025-10-06 01:55:31.422] <Wally>   (out) : =
[2025-10-06 01:55:31.422] <Wally>   (out) : 
[2025-10-06 01:55:31.427] <Wally>    (in) : genmove W
[2025-10-06 01:55:31.431] <Wally>   (out) : = F9
[2025-10-06 01:55:31.431] <Wally>   (out) : 
[2025-10-06 01:55:31.438] <Wally>   (err) : capture move F9
[2025-10-06 01:55:31.438] <Wally>   (err) : save move: F8
[2025-10-06 01:55:31.439] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:31.439] <Wally>   (err) : surround move: F6
[2025-10-06 01:55:31.439] <Wally>   (err) : best move F9
[2025-10-06 01:55:31.949] <Wally>    (in) : play B J6
[2025-10-06 01:55:31.955] <Wally>   (out) : =
[2025-10-06 01:55:31.955] <Wally>   (out) : 
[2025-10-06 01:55:31.959] <Wally>    (in) : genmove W
[2025-10-06 01:55:31.963] <Wally>   (out) : = J8
[2025-10-06 01:55:31.963] <Wally>   (out) : 
[2025-10-06 01:55:31.970] <Wally>   (err) : capture move J8
[2025-10-06 01:55:31.970] <Wally>   (err) : save move: J7
[2025-10-06 01:55:31.970] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:31.971] <Wally>   (err) : surround move: F6
[2025-10-06 01:55:31.971] <Wally>   (err) : best move J8
[2025-10-06 01:55:32.495] <Wally>    (in) : play B J5
[2025-10-06 01:55:32.504] <Wally>   (out) : =
[2025-10-06 01:55:32.504] <Wally>   (out) : 
[2025-10-06 01:55:32.508] <Wally>    (in) : genmove W
[2025-10-06 01:55:32.515] <Wally>   (out) : = F6
[2025-10-06 01:55:32.515] <Wally>   (out) : 
[2025-10-06 01:55:32.527] <Wally>   (err) : capture move XX
[2025-10-06 01:55:32.527] <Wally>   (err) : save move: XX
[2025-10-06 01:55:32.527] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:32.527] <Wally>   (err) : surround move: F6
[2025-10-06 01:55:32.527] <Wally>   (err) : best move F6
[2025-10-06 01:55:33.007] <Wally>    (in) : play B G4
[2025-10-06 01:55:33.015] <Wally>   (out) : =
[2025-10-06 01:55:33.015] <Wally>   (out) : 
[2025-10-06 01:55:33.019] <Wally>    (in) : genmove W
[2025-10-06 01:55:33.023] <Wally>   (out) : = E5
[2025-10-06 01:55:33.023] <Wally>   (out) : 
[2025-10-06 01:55:33.030] <Wally>   (err) : capture move E5
[2025-10-06 01:55:33.030] <Wally>   (err) : save move: D5
[2025-10-06 01:55:33.030] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:33.030] <Wally>   (err) : surround move: H6
[2025-10-06 01:55:33.031] <Wally>   (err) : best move E5
[2025-10-06 01:55:33.521] <Wally>    (in) : play B H5
[2025-10-06 01:55:33.528] <Wally>   (out) : =
[2025-10-06 01:55:33.529] <Wally>   (out) : 
[2025-10-06 01:55:33.533] <Wally>    (in) : genmove W
[2025-10-06 01:55:33.537] <Wally>   (out) : = H6
[2025-10-06 01:55:33.537] <Wally>   (out) : 
[2025-10-06 01:55:33.544] <Wally>   (err) : capture move XX
[2025-10-06 01:55:33.545] <Wally>   (err) : save move: XX
[2025-10-06 01:55:33.545] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:33.545] <Wally>   (err) : surround move: H6
[2025-10-06 01:55:33.545] <Wally>   (err) : best move H6
[2025-10-06 01:55:34.137] <Wally>    (in) : play B G5
[2025-10-06 01:55:34.145] <Wally>   (out) : =
[2025-10-06 01:55:34.145] <Wally>   (out) : 
[2025-10-06 01:55:34.149] <Wally>    (in) : genmove W
[2025-10-06 01:55:34.154] <Wally>   (out) : = H4
[2025-10-06 01:55:34.154] <Wally>   (out) : 
[2025-10-06 01:55:34.160] <Wally>   (err) : capture move XX
[2025-10-06 01:55:34.160] <Wally>   (err) : save move: XX
[2025-10-06 01:55:34.160] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:34.161] <Wally>   (err) : surround move: H4
[2025-10-06 01:55:34.161] <Wally>   (err) : best move H4
[2025-10-06 01:55:34.566] <Wally>    (in) : play B E4
[2025-10-06 01:55:34.573] <Wally>   (out) : =
[2025-10-06 01:55:34.574] <Wally>   (out) : 
[2025-10-06 01:55:34.578] <Wally>    (in) : genmove W
[2025-10-06 01:55:34.583] <Wally>   (out) : = XX
[2025-10-06 01:55:34.583] <Wally>   (out) : 
[2025-10-06 01:55:34.589] <Wally>   (err) : capture move XX
[2025-10-06 01:55:34.590] <Wally>   (err) : save move: D5
[2025-10-06 01:55:34.590] <Wally>   (err) : defend move: XX
[2025-10-06 01:55:34.590] <Wally>   (err) : surround move: G3
[2025-10-06 01:55:34.590] <Wally>   (err) : best move XX
[2025-10-06 01:55:35.045] <Wally>    (in) : clear_board
[2025-10-06 01:55:35.045] <Wally>    (in) : play B G7
[2025-10-06 01:55:35.045] <Wally>    (in) : play W G6
[2025-10-06 01:55:35.045] <Wally>    (in) : play B F3
[2025-10-06 01:55:35.045] <Wally>    (in) : play W G8
[2025-10-06 01:55:35.046] <Wally>    (in) : play B C4
[2025-10-06 01:55:35.046] <Wally>    (in) : play W H7
[2025-10-06 01:55:35.046] <Wally>    (in) : play B C7
[2025-10-06 01:55:35.046] <Wally>    (in) : play W F7
[2025-10-06 01:55:35.046] <Wally>    (in) : play B F5
[2025-10-06 01:55:35.046] <Wally>    (in) : play W C6
[2025-10-06 01:55:35.046] <Wally>    (in) : play B H3
[2025-10-06 01:55:35.047] <Wally>    (in) : play W C8
[2025-10-06 01:55:35.047] <Wally>    (in) : play B E6
[2025-10-06 01:55:35.047] <Wally>    (in) : play W D7
[2025-10-06 01:55:35.047] <Wally>    (in) : play B D3
[2025-10-06 01:55:35.047] <Wally>    (in) : play W B7
[2025-10-06 01:55:35.047] <Wally>    (in) : play B E2
[2025-10-06 01:55:35.047] <Wally>    (in) : play W E7
[2025-10-06 01:55:35.048] <Wally>    (in) : play B C1
[2025-10-06 01:55:35.048] <Wally>    (in) : play W D6
[2025-10-06 01:55:35.048] <Wally>    (in) : play B D8
[2025-10-06 01:55:35.048] <Wally>    (in) : play W E8
[2025-10-06 01:55:35.048] <Wally>    (in) : play B B8
[2025-10-06 01:55:35.048] <Wally>    (in) : play W D9
[2025-10-06 01:55:35.049] <Wally>    (in) : play B B5
[2025-10-06 01:55:35.049] <Wally>    (in) : play W B9
[2025-10-06 01:55:35.049] <Wally>    (in) : play B B2
[2025-10-06 01:55:35.049] <Wally>    (in) : play W A8
[2025-10-06 01:55:35.049] <Wally>    (in) : play B G9
[2025-10-06 01:55:35.049] <Wally>    (in) : play W H9
[2025-10-06 01:55:35.050] <Wally>    (in) : play B H8
[2025-10-06 01:55:35.050] <Wally>    (in) : play W F9
[2025-10-06 01:55:35.050] <Wally>    (in) : play B J6
[2025-10-06 01:55:35.050] <Wally>    (in) : play W J8
[2025-10-06 01:55:35.050] <Wally>    (in) : play B J5
[2025-10-06 01:55:35.050] <Wally>    (in) : play W F6
[2025-10-06 01:55:35.050] <Wally>    (in) : play B G4
[2025-10-06 01:55:35.051] <Wally>    (in) : play W E5
[2025-10-06 01:55:35.051] <Wally>    (in) : play B H5
[2025-10-06 01:55:35.051] <Wally>    (in) : play W H6
[2025-10-06 01:55:35.051] <Wally>    (in) : play B G5
[2025-10-06 01:55:35.051] <Wally>    (in) : play W H4
[2025-10-06 01:55:35.051] <Wally>    (in) : play B E4
[2025-10-06 01:55:35.052] <Wally>    (in) : play W pass
[2025-10-06 01:55:35.052] <Wally>    (in) : play B C5
[2025-10-06 01:55:35.062] <Wally>   (out) : =
[2025-10-06 01:55:35.062] <Wally>   (out) : 
[2025-10-06 01:55:35.063] <Wally>   (out) : =
[2025-10-06 01:55:35.063] <Wally>   (out) : 
[2025-10-06 01:55:35.063] <Wally>   (out) : =
[2025-10-06 01:55:35.063] <Wally>   (out) : 
[2025-10-06 01:55:35.063] <Wally>   (out) : =
[2025-10-06 01:55:35.063] <Wally>   (out) : 
[2025-10-06 01:55:35.063] <Wally>   (out) : =
[2025-10-06 01:55:35.064] <Wally>   (out) : 
[2025-10-06 01:55:35.064] <Wally>   (out) : =
[2025-10-06 01:55:35.064] <Wally>   (out) : 
[2025-10-06 01:55:35.064] <Wally>   (out) : =
[2025-10-06 01:55:35.064] <Wally>   (out) : 
[2025-10-06 01:55:35.064] <Wally>   (out) : =
[2025-10-06 01:55:35.064] <Wally>   (out) : 
[2025-10-06 01:55:35.064] <Wally>   (out) : =
[2025-10-06 01:55:35.065] <Wally>   (out) : 
[2025-10-06 01:55:35.065] <Wally>   (out) : =
[2025-10-06 01:55:35.065] <Wally>   (out) : 
[2025-10-06 01:55:35.065] <Wally>   (out) : =
[2025-10-06 01:55:35.065] <Wally>   (out) : 
[2025-10-06 01:55:35.065] <Wally>   (out) : =
[2025-10-06 01:55:35.066] <Wally>   (out) : 
[2025-10-06 01:55:35.066] <Wally>   (out) : =
[2025-10-06 01:55:35.066] <Wally>   (out) : 
[2025-10-06 01:55:35.066] <Wally>   (out) : =
[2025-10-06 01:55:35.066] <Wally>   (out) : 
[2025-10-06 01:55:35.067] <Wally>   (out) : =
[2025-10-06 01:55:35.067] <Wally>   (out) : 
[2025-10-06 01:55:35.067] <Wally>   (out) : =
[2025-10-06 01:55:35.067] <Wally>   (out) : 
[2025-10-06 01:55:35.067] <Wally>   (out) : =
[2025-10-06 01:55:35.068] <Wally>   (out) : 
[2025-10-06 01:55:35.068] <Wally>   (out) : =
[2025-10-06 01:55:35.068] <Wally>   (out) : 
[2025-10-06 01:55:35.068] <Wally>   (out) : =
[2025-10-06 01:55:35.068] <Wally>   (out) : 
[2025-10-06 01:55:35.069] <Wally>   (out) : =
[2025-10-06 01:55:35.069] <Wally>   (out) : 
[2025-10-06 01:55:35.069] <Wally>   (out) : =
[2025-10-06 01:55:35.069] <Wally>   (out) : 
[2025-10-06 01:55:35.069] <Wally>   (out) : =
[2025-10-06 01:55:35.069] <Wally>   (out) : 
[2025-10-06 01:55:35.069] <Wally>   (out) : =
[2025-10-06 01:55:35.069] <Wally>   (out) : 
[2025-10-06 01:55:35.069] <Wally>   (out) : =
[2025-10-06 01:55:35.070] <Wally>   (out) : 
[2025-10-06 01:55:35.070] <Wally>   (out) : =
[2025-10-06 01:55:35.070] <Wally>   (out) : 
[2025-10-06 01:55:35.070] <Wally>   (out) : =
[2025-10-06 01:55:35.070] <Wally>   (out) : 
[2025-10-06 01:55:35.070] <Wally>   (out) : =
[2025-10-06 01:55:35.070] <Wally>   (out) : 
[2025-10-06 01:55:35.070] <Wally>   (out) : =
[2025-10-06 01:55:35.070] <Wally>   (out) : 
[2025-10-06 01:55:35.070] <Wally>   (out) : =
[2025-10-06 01:55:35.070] <Wally>   (out) : 
[2025-10-06 01:55:35.071] <Wally>   (out) : =
[2025-10-06 01:55:35.071] <Wally>   (out) : 
[2025-10-06 01:55:35.071] <Wally>   (out) : =
[2025-10-06 01:55:35.071] <Wally>   (out) : 
[2025-10-06 01:55:35.071] <Wally>   (out) : =
[2025-10-06 01:55:35.071] <Wally>   (out) : 
[2025-10-06 01:55:35.071] <Wally>   (out) : =
[2025-10-06 01:55:35.071] <Wally>   (out) : 
[2025-10-06 01:55:35.071] <Wally>   (out) : =
[2025-10-06 01:55:35.071] <Wally>   (out) : 
[2025-10-06 01:55:35.071] <Wally>   (out) : =
[2025-10-06 01:55:35.071] <Wally>   (out) : 
[2025-10-06 01:55:35.071] <Wally>   (out) : =
[2025-10-06 01:55:35.071] <Wally>   (out) : 
[2025-10-06 01:55:35.071] <Wally>   (out) : =
[2025-10-06 01:55:35.071] <Wally>   (out) : 
[2025-10-06 01:55:35.072] <Wally>   (out) : =
[2025-10-06 01:55:35.072] <Wally>   (out) : 
[2025-10-06 01:55:35.072] <Wally>   (out) : =
[2025-10-06 01:55:35.072] <Wally>   (out) : 
[2025-10-06 01:55:35.072] <Wally>   (out) : =
[2025-10-06 01:55:35.072] <Wally>   (out) : 
[2025-10-06 01:55:35.072] <Wally>   (out) : =
[2025-10-06 01:55:35.072] <Wally>   (out) : 
[2025-10-06 01:55:35.072] <Wally>   (out) : =
[2025-10-06 01:55:35.072] <Wally>   (out) : 
[2025-10-06 01:55:35.072] <Wally>   (out) : =
[2025-10-06 01:55:35.072] <Wally>   (out) : 
[2025-10-06 01:55:35.072] <Wally>   (out) : =
[2025-10-06 01:55:35.072] <Wally>   (out) : 
[2025-10-06 01:55:35.078] <Wally>   (err) : Traceback (most recent call last):
[2025-10-06 01:55:35.078] <Wally>   (err) :   File "/Users/soohyukyoon/SooGo/Wally.py", line 526, in <module>
[2025-10-06 01:55:35.078] <Wally>   (err) :     gtp()
[2025-10-06 01:55:35.078] <Wally>   (err) :     ~~~^^
[2025-10-06 01:55:35.078] <Wally>   (err) :   File "/Users/soohyukyoon/SooGo/Wally.py", line 520, in gtp
[2025-10-06 01:55:35.078] <Wally>   (err) :     elif 'play' in command: play(command); print('=\n')
[2025-10-06 01:55:35.078] <Wally>   (err) :                             ~~~~^^^^^^^^^
[2025-10-06 01:55:35.079] <Wally>   (err) :   File "/Users/soohyukyoon/SooGo/Wally.py", line 334, in play
[2025-10-06 01:55:35.079] <Wally>   (err) :     row = (BOARD_RANGE - 1) - int(square_str[1:])
[2025-10-06 01:55:35.079] <Wally>   (err) :                               ~~~^^^^^^^^^^^^^^^^
[2025-10-06 01:55:35.079] <Wally>   (err) : ValueError: invalid literal for int() with base 10: 'ass'
[2025-10-06 01:55:35.085] <Wally>  (meta) : Engine Stopped
[2025-10-06 01:55:35.086] <Wally>  (meta) : Connection Failed
[2025-10-06 01:55:35.086] <Wally>  (meta) : Connection Failed
[2025-10-06 01:58:11.891] <Wally>    (in) : name
[2025-10-06 01:58:11.892] <Wally>    (in) : version
[2025-10-06 01:58:11.892] <Wally>    (in) : protocol_version
[2025-10-06 01:58:11.892] <Wally>    (in) : list_commands
[2025-10-06 01:58:11.892] <Wally>  (meta) : Engine Started
[2025-10-06 01:58:11.893] <Wally>    (in) : komi 6.5
[2025-10-06 01:58:12.001] <Wally>   (out) : = Wally
[2025-10-06 01:58:12.001] <Wally>   (out) : 
[2025-10-06 01:58:12.002] <Wally>   (out) : = 1.0 
[2025-10-06 01:58:12.002] <Wally>   (out) : 
[2025-10-06 01:58:12.002] <Wally>   (out) : = 1
[2025-10-06 01:58:12.002] <Wally>   (out) : 
[2025-10-06 01:58:12.002] <Wally>   (out) : = protocol_version
[2025-10-06 01:58:12.002] <Wally>   (out) : 
[2025-10-06 01:58:12.002] <Wally>   (out) : =
[2025-10-06 01:58:12.002] <Wally>   (out) : 
[2025-10-06 01:58:12.007] <Wally>    (in) : boardsize 9
[2025-10-06 01:58:12.014] <Wally>   (out) : =
[2025-10-06 01:58:12.014] <Wally>   (out) : 
[2025-10-06 01:58:12.018] <Wally>    (in) : clear_board
[2025-10-06 01:58:12.018] <Wally>    (in) : play B G7
[2025-10-06 01:58:12.019] <Wally>    (in) : play W G6
[2025-10-06 01:58:12.019] <Wally>    (in) : play B F3
[2025-10-06 01:58:12.019] <Wally>    (in) : play W G8
[2025-10-06 01:58:12.019] <Wally>    (in) : play B C4
[2025-10-06 01:58:12.019] <Wally>    (in) : play W H7
[2025-10-06 01:58:12.019] <Wally>    (in) : play B C7
[2025-10-06 01:58:12.020] <Wally>    (in) : play W F7
[2025-10-06 01:58:12.020] <Wally>    (in) : play B F5
[2025-10-06 01:58:12.020] <Wally>    (in) : play W C6
[2025-10-06 01:58:12.020] <Wally>    (in) : play B H3
[2025-10-06 01:58:12.020] <Wally>    (in) : play W C8
[2025-10-06 01:58:12.020] <Wally>    (in) : play B E6
[2025-10-06 01:58:12.021] <Wally>    (in) : play W D7
[2025-10-06 01:58:12.021] <Wally>    (in) : play B D3
[2025-10-06 01:58:12.021] <Wally>    (in) : play W B7
[2025-10-06 01:58:12.021] <Wally>    (in) : play B E2
[2025-10-06 01:58:12.021] <Wally>    (in) : play W E7
[2025-10-06 01:58:12.021] <Wally>    (in) : play B C1
[2025-10-06 01:58:12.021] <Wally>    (in) : play W D6
[2025-10-06 01:58:12.022] <Wally>    (in) : play B D8
[2025-10-06 01:58:12.022] <Wally>    (in) : play W E8
[2025-10-06 01:58:12.022] <Wally>    (in) : play B B8
[2025-10-06 01:58:12.022] <Wally>    (in) : play W D9
[2025-10-06 01:58:12.022] <Wally>    (in) : play B B5
